,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
3547,30-Oct-1966,1966,Unprovoked,PAPUA NEW GUINEA,NEW IRELAND PROVINCE,"Lamassa Island, 16 miles from Lambom Island",Swimming,F,13,FATAL,Y,Morning,3.7 m [12'] shark,1966,OCT,SWIMMING,No,FATAL INJURY,UNKONWN
3548,19-Oct-1966,1966,Unprovoked,PAPUA NEW GUINEA,NEW IRELAND PROVINCE,"Mission Beach, Lambon Island, near Duke of York Islands",Bathing,F,8,FATAL,Y,09h00,3.7 m [12'] shark,1966,OCT,BATHING,No,FATAL INJURY,UNKONWN
3549,27-Sep-1966,1966,Unprovoked,AUSTRALIA,QUEENSLAND,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef","Free diving, carrying speargun",M,32,Shoulder lacerated,N,16h45,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun",1966,SEP,DIVING,No,LACERATIONS,WHALER
3550,19-Sep-1966,1966,Provoked,USA,HAWAII,50 miles NE of Honolulu,Fishing,M,20,Left elbow or hand bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,1966,SEP,FISHING,Yes,BITTEN,UNKONWN
3552,13-Sep-1966,1966,Provoked,AUSTRALIA,WESTERN AUSTRALIA,Albany,Spearfishing,M,UNKNOWN,Involved a speared shark but no other details PROVOKED INCIDENT,UNKNOWN,Late afternoon,UNKNOWN,1966,SEP,SPEARFISHING,No,OTHERS,UNKONWN
3553,10-Sep-1966,1966,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Roe Reef off Rottnest Island,Spearfishing,M,43,No injury,N,12h00,"Mako shark, 1.9 m [6.5']",1966,SEP,SPEARFISHING,No,NO INJURY,MAKO
3554,8-Sep-1966,1966,Provoked,USA,FLORIDA,"Florida Keys, Monroe County",Hunting crayfish,M,14,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,UNKNOWN,"Nurse shark, 2.5'",1966,SEP,HUNTING,No,OTHERS,NURSE
3556,28-Aug-1966,1966,Boat,AUSTRALIA,NORTHERN TERRITORY,Darwin Harbour,UNKNOWN,M,UNKNOWN,"No injury to occupant. Shark struck vessel, jamming centreboard",N,UNKNOWN,UNKNOWN,1966,AUG,UNKONWN,Yes,NO INJURY,UNKONWN
3558,27-Aug-1966,1966,Unprovoked,BAHAMAS,BIMINI ISLANDS,UNKNOWN,Snorkeling,F,18,"Survived, no details",N,17h00,UNKNOWN,1966,AUG,SNORKELING,No,NO DETAILS,UNKONWN
3559,23-Aug-1966,1966,Unprovoked,NEW BRITAIN,DUKE OF YORK ISLANDS,"Butliwan Village, 15 miles north of Rabaul",Swimming,F,13,FATAL,Y,Midday,A pack of 6 sharks,1966,AUG,SWIMMING,No,FATAL INJURY,UNKONWN
3560,23-Aug-1966,1966,Unprovoked,NEW BRITAIN,DUKE OF YORK ISLANDS,"Butliwan Village, 15 miles north of Rabaul",Diving into water,F,9,FATAL,Y,Midday,A pack of 6 sharks,1966,AUG,DIVING,No,FATAL INJURY,UNKONWN
3561,16-Aug-1966,1966,Unprovoked,CROATIA,PRIMORJE-GORSKI KOTAR COUNTY,Bakar,Swimming,M,33,FATAL,Y,UNKNOWN,White shark,1966,AUG,SWIMMING,No,FATAL INJURY,WHITE
3562,14-Aug-1966,1966,Unprovoked,TAIWAN,UNKNOWN,Ye Leow,Lobster diving using Scuba,M,UNKNOWN,"No injury, but shark struck his calf",N,17h30,1.5 m to 2.1 m  [5' to 7'] shark,1966,AUG,DIVING,No,NO INJURY,UNKONWN
3563,13-Aug-1966,1966,Unprovoked,ITALY,TARANTO PROVINCE,"Pulsano, near Taranto",Attacked shark with fists,M,21,Arm lacerated,N,UNKNOWN,"""small shark""",1966,AUG,UNKONWN,No,LACERATIONS,SMALL
3565,Aug-1966,1966,Unprovoked,USA,FLORIDA,"Municipal Bathing area, Riviera Beach, Palm Beach County",Wading,M,8,"No injury, mother lifted him from the water",N,15h00,Spinner or blacktip sharks,1966,AUG,WADING,No,NO INJURY,BLACKTIP
3566,31-Jul-1966,1966,Unprovoked,USA,TEXAS,"South Jetty, Galveston",Diving for sand dollars,M,16,Dorsum of right foot grazed,N,UNKNOWN,Lemon shark or sandtiger shark,1966,JUL,DIVING,No,OTHERS,LEMON
3567,19-Jul-1966,1966,Provoked,USA,SOUTH CAROLINA,"Folly Beach, Charleston County",Killing a shark,M,34,"Arm bitten, PROVOKED INCIDENT",N,18h40,4' shark,1966,JUL,KILLING,No,BITTEN,UNKONWN
3568,17-Jul-1966,1966,Unprovoked,USA,TEXAS,"Point Comfort, Calhoun County",Fishing,M,14,Lacerations to right foot,N,15h00,UNKNOWN,1966,JUL,FISHING,Yes,LACERATIONS,UNKONWN
3569,17-Jul-1966,1966,Unprovoked,TAIWAN,NORTHERN TAIWAN,Tamsui Beach,Swimming,M,20,"FATAL, left leg severed",Y,UNKNOWN,UNKNOWN,1966,JUL,SWIMMING,No,FATAL INJURY,UNKONWN
3570,14-Jul-1966,1966,Unprovoked,PAPUA NEW GUINEA,"ADMIRALTY ISLANDS, MANUS PROVINCE",Manus Island,Swimming,F,25,FATAL,Y,UNKNOWN,UNKNOWN,1966,JUL,SWIMMING,No,FATAL INJURY,UNKONWN
3572,02-Jul-1966,1966,Boat,CARIBBEAN SEA,UNKNOWN,Between USA & Cuba,UNKNOWN,X,UNKNOWN,"No injury to occupants, sharks bit chunks from boat",N,UNKNOWN,UNKNOWN,1966,JUL,UNKONWN,Yes,NO INJURY,UNKONWN
3573,22-Jun-1966,1966,Provoked,USA,NEW JERSEY,"Reeds Bay, Brigantine, Atlantic County",Clamming,M,15,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,16h00,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",1966,JUN,CLAMMING,No,LACERATIONS,FOR
3574,11-Jun-1966,1966,Provoked,USA,FLORIDA,"Ft. Lauderdale, Broward County",Fishing,M,18,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,09h00,1.2 m [4'] hammerhead shark,1966,JUN,FISHING,Yes,BITTEN,HAMMERHEAD
3575,04-Jun-1966,1966,Unprovoked,USA,TEXAS,Bolivar Peninsula,Swimming,M,18,Punctures on  thigh & buttock,N,17h00,a small shark,1966,JUN,SWIMMING,No,PUNCTURED,SMALL
3576,02-Jun-1966,1966,Provoked,FRENCH POLYNESIA,SOCIETY ISLANDS,Tahiti,Fishing,M,UNKNOWN,Arm lacerated by netted shark PROVOKED INCIDENT,N,Afternoon,UNKNOWN,1966,JUN,FISHING,Yes,LACERATIONS,UNKONWN
3577,20-May-1966,1966,Sea Disaster,AUSTRALIA,NEW SOUTH WALES,Jervis Bay,Sinking of the dredge World Atlas,M,40,FATAL,Y,Night,UNKNOWN,1966,MAY,SINKING,No,FATAL INJURY,UNKONWN
3578,20-May-1966,1966,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Bellingen,Fishing,M,UNKNOWN,Foot bitten,N,01h00,1.8 m [6'] shark,1966,MAY,FISHING,Yes,BITTEN,UNKONWN
3579,20-May-1966,1966,Sea Disaster,AUSTRALIA,UNKNOWN,7 miles offshore on east coast of Australia,Shipwreck,M,38,"FATAL, other human remains bitten by sharks, 13 people missing",Y,Dark,Believed white shark and other smaller species of sharks involved.,1966,MAY,UNKONWN,No,FATAL INJURY,WHITE
3581,16-May-1966,1966,Sea Disaster,PHILIPPINES,UNKNOWN,Off Cebu,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,UNKNOWN,130 perished; 136 survived  including a man whose foot was severed by a shark,Y,UNKNOWN,UNKNOWN,1966,MAY,UNKONWN,No,LIMB SEVERED,UNKONWN
3582,08-Apr-1966,1966,Unprovoked,USA,PUERTO RICO,UNKNOWN,Swimming,M,25,Foot lacerated,N,16h30,UNKNOWN,1966,APR,SWIMMING,No,LACERATIONS,UNKONWN
3583,Apr-1966,1966,Sea Disaster,AUSTRALIA,NEW SOUTH WALES,"Botany Bay, Sydney",Overturned skiff,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,1966,APR,UNKONWN,No,OTHERS,UNKONWN
3584,20-Mar-1966,1966,Provoked,AUSTRALIA,NEW SOUTH WALES,Maroubra,Fishing (big game),X,UNKNOWN,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,UNKNOWN,"Alleged to involve a White shark, 7.6 m [25']",1966,MAR,FISHING,Yes,NO INJURY,WHITE
3585,14-Mar-1966,1966,Sea Disaster,SUDAN,RED SEA,UNKNOWN,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1966,MAR,THROWING,No,FATAL INJURY,UNKONWN
3586,27-Feb-1966,1966,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Coledale Beach,Treading water,M,13,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,14h00,"White shark, 2.5 m [8.25'], an immature female, previously injured",1966,FEB,TREADING,No,BITTEN,WHITE
3587,29-Jan-1966,1966,Provoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Strandfontein Beach,Helping men land a shark,M,33,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Afternoon,Copper shark,1966,JAN,HELPING,No,LACERATIONS,COPPER
3588,25-Jan-1966,1966,Sea Disaster,INDONESIA,NORTH SUMATRA,Near Belawan,wreck of the State Oil Company ship Permina,X,UNKNOWN,Sharks said to have killed some of the 80 people lost,Y,UNKNOWN,UNKNOWN,1966,JAN,UNKONWN,No,OTHERS,UNKONWN
3589,22-Jan-1966,1966,Unprovoked,USA,CALIFORNIA,"Pebble Beach, Cypress Point, Monterey County",Free diving / spearfishing (resting on the surface),M,29,"Hand, arm & thigh bitten",N,10h00 / 11h00,"White shark, 3 m [10']",1966,JAN,DIVING,No,BITTEN,WHITE
3590,15-Jan-1966,1966,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Bellambi,Spearfishing,M,30,Buttocks bitten,N,UNKNOWN,"Wobbegong shark, 5'",1966,JAN,SPEARFISHING,No,BITTEN,WOBBEGONG
3591,14-Jan-1966,1966,Sea Disaster,COLUMBIA,UNKNOWN,Off Cartagena,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,X,UNKNOWN,"10 survived, 51 perished. ",Y,UNKNOWN,Shark involvement not confirmed,1966,JAN,UNKONWN,No,OTHERS,UNKONWN
3592,11-Jan-1966,1966,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Riet River,Standing,M,16,Right calf lacerated,N,09h00,1.5 m to 1.8 m [5' to 6'] Zambesi shark,1966,JAN,STANDING,No,LACERATIONS,ZAMBESI
3593,10-Jan-1966,1966,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Woodman Point,Jumped into the water,M,43,"Lower leg nipped, arm bruised when he landed in boat",N,UNKNOWN,76 cm [2.5'] carpet shark,1966,JAN,UNKONWN,No,OTHERS,CARPET
3594,09-Jan-1966,1966,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,Umkomaas,Body surfing,M,15,Lower legs bitten,N,14h00,"1.8 m to 2 m [6' to 6'9""] shark",1966,JAN,SURFING,No,BITTEN,UNKONWN
3595,08-Jan-1966,1966,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Oakura Beach, Taranaki",Body surfing,F,15,"FATAL, left leg bitten thigh to calf  ",Y,15h30,UNKNOWN,1966,JAN,SURFING,No,FATAL INJURY,UNKONWN
3596,05-Jan-1966,1966,Unprovoked,USA,FLORIDA,"Hollywood, Broward County",Swimming,M,35,Thigh gashed,N,16h00,Hammerhead shark,1966,JAN,SWIMMING,No,OTHERS,HAMMERHEAD
3598,28-Dec-1965,1965,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Bathurst Reef, Rottnest Island","Spearfishing, but standing in knee-deep water",M,40,Thigh & swim fin bitten,N,UNKNOWN,1.8 m [6'] carpet shark,1965,DEC,SPEARFISHING,No,BITTEN,CARPET
3599,19-Dec-1965,1965,Unprovoked,JOHNSTON ISLAND,UNKNOWN,UNKNOWN,Freediving,M,UNKNOWN,No injury,N,14h00,Grey reef shark,1965,DEC,FREEDIVING,No,NO INJURY,REEF
3600,10-Dec-1965,1965,Boat,AUSTRALIA,SOUTH AUSTRALIA,Cape Jervis,Fishing,X,UNKNOWN,No injury to occupants. Shark  gouged planks of boat,N,10h30,15' shark,1965,DEC,FISHING,Yes,NO INJURY,UNKONWN
3601,21-Nov-1965,1965,Provoked,AUSTRALIA,QUEENSLAND,Near Brisbane,Fishing from 34' boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,UNKNOWN,4.6 m [15'] shark,1965,NOV,FISHING,Yes,FATAL INJURY,UNKONWN
3602,21-Nov-1965,1965,Unprovoked,PACIFIC OCEAN,"250 MILES SOUTHWEST OF O'AHU, HAWAII",Japanese fishing boat Taihei Maru No.10,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,"Left forearm bitten, surgically amputated",N,23h30,UNKNOWN,1965,NOV,HAULING,No,BITTEN,UNKONWN
3604,03-Nov-1965,1965,Unprovoked,AUSTRALIA,QUEENSLAND,Oak Beach,Surfing,M,24,Puncture wounds to right thigh,N,16h30,"Grey nurse shark, 2.4 m [8']",1965,NOV,SURFING,No,PUNCTURED,NURSE
3605,21-Oct-1965,1965,Unprovoked,UNKNOWN,UNKNOWN,Florida Strait,The boat Caribou II sank,M,39,Survived,N,UNKNOWN,UNKNOWN,1965,OCT,UNKONWN,No,OTHERS,UNKONWN
3606,16-Oct-1965,1965,Unprovoked,BAHAMAS,NEW PROVIDENCE ISLAND,Nassau,Sunbathing on beach when he saw child being attacked by the shark,M,32,Right arm & right leg bitten,N,UNKNOWN,"1.8 m [6'], 180-lb shark",1965,OCT,SUNBATHING,No,BITTEN,UNKONWN
3607,16-Oct-1965,1965,Unprovoked,BAHAMAS,NEW PROVIDENCE ISLAND,Nassau,Playing in the water,F,UNKNOWN,FATAL,Y,UNKNOWN,"1.8 m [6'], 180-lb shark",1965,OCT,PLAYING,No,FATAL INJURY,UNKONWN
3608,10-Oct-1965,1965,Unprovoked,NEW BRITAIN,WEST COAST,"Outside the reef off Moputu Village, near Talasea","Spearfishing, shot a turtle",M,15,FATAL,Y,UNKNOWN,2 sharks involved,1965,OCT,SPEARFISHING,No,FATAL INJURY,UNKONWN
3609,Oct-1965,1965,Unprovoked,PAPUA NEW GUINEA,NEW BRITAIN,UNKNOWN,Wading,M,27,Toe severed,N,UNKNOWN,UNKNOWN,1965,OCT,WADING,No,LIMB SEVERED,UNKONWN
3610,21-Sep-1965,1965,Provoked,PAPUA NEW GUINEA,MADANG PROVINCE,Sek Harbor,Spearing fish,M,UNKNOWN,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",N,UNKNOWN,"""small shark""",1965,SEP,SPEARING,No,LACERATIONS,SMALL
3611,12-Sep-1965,1965,Provoked,PAPUA NEW GUINEA,EAST SEPIK,Moem Village near Wewak,Fishing (rod & line),M,UNKNOWN,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,N,14h00,0.9 m [3'] shark,1965,SEP,FISHING,Yes,BITTEN,UNKONWN
3612,08-Sep-1965,1965,Unprovoked,MEXICO,VERACRUZ,Playa Villa del Mar,UNKNOWN,M,23,Leg & arm bitten,N,18h00,300-kg [662-lb] shark,1965,SEP,UNKONWN,No,BITTEN,UNKONWN
3614,26-Aug-1965,1965,Unprovoked,USA,NEW JERSEY,"Steel Pier, Atlantic City, Atlantic County",Swimming,M,15,Right thigh lacerated,N,17h30,UNKNOWN,1965,AUG,SWIMMING,No,LACERATIONS,UNKONWN
3615,30-Jul-1964,1965,Provoked,BAHAMAS,BIMINI ISLANDS,Lerner Marine Lab,Attempting to anesthetize shark,M,UNKNOWN,Chest bitten PROVOKED INCIDENT,N,UNKNOWN,"Lemon shark, 0.5 m",1964,JUL,ATTEMPTING,No,BITTEN,LEMON
3616,26-Jul-1965,1965,Unprovoked,MEXICO,VERACRUZ,Mocambo,Bathing,M,25,"FATAL, both legs severed ",Y,17h00,UNKNOWN,1965,JUL,BATHING,No,FATAL INJURY,UNKONWN
3617,Reported 02-Jul-1965,1965,Boat,BERMUDA,HAMILTON,UNKNOWN,UNKNOWN,X,UNKNOWN,"No injury to occupant, shark bit boat",N,UNKNOWN,UNKNOWN,1965,JUL,UNKONWN,Yes,NO INJURY,UNKONWN
3620,09-Jun-1965,1965,Unprovoked,MEXICO,VERACRUZ,Mocambo,Swimming,M,38,"Right forearm severed, right leg bitten and surgically amputated",N,14h00,UNKNOWN,1965,JUN,SWIMMING,No,BITTEN,UNKONWN
3621,Jun-1965,1965,Unprovoked,PAPUA NEW GUINEA,NEAR BOUGAINVILLE (NORTH SOLOMONS),Huhunoti Island,Spearfishing,M,UNKNOWN,Minor injury,N,UNKNOWN,UNKNOWN,1965,JUN,SPEARFISHING,No,MINOR INJURIES,UNKONWN
3622,Jun-1965,1965,Unprovoked,SOUTH PACIFIC OCEAN,UNKNOWN,UNKNOWN,Treading water,M,UNKNOWN,"FATAL, body not recovered",Y,Morning,,1965,JUN,TREADING,No,FATAL INJURY,UNKONWN
3623,29-May-1965,1965,Unprovoked,MEXICO,VERACRUZ,Playa Mocambo,Swimming,M,UNKNOWN,"FATAL, left leg & right arm severed ",Y,12h00,UNKNOWN,1965,MAY,SWIMMING,No,FATAL INJURY,UNKONWN
3624,28-May-1965,1965,Unprovoked,MEXICO,VERACRUZ,Playa Mocambo,Swimming,M,UNKNOWN,"FATAL, left arm & right leg severed ",Y,UNKNOWN,UNKNOWN,1965,MAY,SWIMMING,No,FATAL INJURY,UNKONWN
3625,May-Jun-1965,1965,Unprovoked,EGYPT,UNKNOWN,UNKNOWN,Standing,M,UNKNOWN,Leg bitten,N,UNKNOWN,UNKNOWN,1965,JUN,STANDING,No,BITTEN,UNKONWN
3626,May 1965,1965,Unprovoked,JAMAICA,UNKNOWN,UNKNOWN,Diving,M,UNKNOWN,Minor injury,N,UNKNOWN,UNKNOWN,1965,UNKNOWN,DIVING,No,MINOR INJURIES,UNKONWN
3627,May 1965,1965,Unprovoked,MEXICO,VERACRUZ,Mocambo,Swimming,M,35,"Right arm severed, right leg bitten, not known if he survived",N,UNKNOWN,UNKNOWN,1965,UNKNOWN,SWIMMING,No,BITTEN,UNKONWN
3628,29-Apr-1965,1965,Unprovoked,USA,FLORIDA,"Hobe Sound, Martin County",UNKNOWN,M,49,"Thighs abraded, puncture wounds in dorsal surface of left hand",N,15h00,Bull shark,1965,APR,UNKONWN,No,PUNCTURED,BULL
3630,10-Apr-1965,1965,Unprovoked,USA,FLORIDA,American Shoals off Key West,Spearfishing,M,28,Left hand severely lacerated,N,11h00,"White shark, 10' to 12'",1965,APR,SPEARFISHING,No,LACERATIONS,WHITE
3631,04-Apr-1965,1965,Unprovoked,PALAU,WESTERN CAROLINE ISLANDS,Koror,Walking on reef,M,8,Right leg bitten,N,15h30,"Tiger shark, tooth fragment recovered",1965,APR,WALKING,No,BITTEN,TIGER
3632,04-Apr-1965,1965,Unprovoked,USA,FLORIDA,"Juno Beach, Palm Beach County",Paddling on surfboard,M,17,Left hand punctured & lacerated,N,07h15,Blacktip or spinner shark,1965,APR,PADDLING,No,LACERATIONS,SPINNER
3634,14-Mar-1965,1965,Unprovoked,USA,FLORIDA,"Pompano Beach, Palm Beach County",Free diving,M,16,Survived,N,13h30,Mako shark,1965,MAR,DIVING,No,OTHERS,MAKO
3635,14-Feb-1965,1965,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,Amatikulu,Treading water,M,25,"Abdomen, buttock, thigh, arm & hand bitten",N,15h00 or 15h45,"1.8 m [6'], 136-kg [300-lb] shark",1965,FEB,TREADING,No,BITTEN,UNKONWN
3636,04-Feb-1965,1965,Unprovoked,USA,MASSACHUSETTS,"Granite Pier, Rockport",Scuba diving,M,18,Punctures on left thigh,N,14h30,1.2 m [4'] shark,1965,FEB,DIVING,No,PUNCTURED,UNKONWN
3638,23-Jan-1965,1965,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,"Country Club Beach, Durban",Paddling rescue ski,M,22,"No injury, ski bitten",N,13h00,"White shark, 3.7 m [12']",1965,JAN,PADDLING,No,NO INJURY,WHITE
3639,16-Jan-1965,1965,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,"Country Club Beach, Durban",Body surfing,M,20,Right thigh punctured,N,16h40,UNKNOWN,1965,JAN,SURFING,No,PUNCTURED,UNKONWN
3640,10-Jan-1965,1965,Unprovoked,AUSTRALIA,VICTORIA,"East of Station Pier, Port Melbourne",Swimming,M,UNKNOWN,Thigh gashed,N,UNKNOWN,1.5 m [5'] shark,1965,JAN,SWIMMING,No,OTHERS,UNKONWN
3641,09-Jan-1965,1965,Unprovoked,NEW GUINEA,CENTRAL PROVINCE,Off Gaire Village,Free diving,M,30,FATAL,Y,UNKNOWN,4.9 m [16'] whaler,1965,JAN,DIVING,No,FATAL INJURY,UNKONWN
3642,Summer 1965,1965,Unprovoked,USA,TEXAS,"Port Lavaca, Calhoun County",Dangling feet in the water,M,13,Foot bitten,N,UNKNOWN,UNKNOWN,1965,UNKNOWN,DANGLING,No,BITTEN,UNKONWN
3643,1965,1965,Provoked,USA,CALIFORNIA,"Dana Point, San Clemente, Orange County",Surfing,M,UNKNOWN,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,1965,UNKNOWN,SURFING,No,PUNCTURED,UNKONWN
3644,Early 1965,1965,Provoked,USA,FLORIDA,"Between Palm  & Salerno Inlets, Martin County",Collecting marine specimens,M,UNKNOWN,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,UNKNOWN,"Nurse shark, 0.94 m to 1.2 m [3' to 4']",1965,UNKNOWN,COLLECTING,No,NO INJURY,NURSE
3645,May-Jun-1965,1965,Unprovoked,RED SEA,EAST OF THE GULF OF AQABA,UNKNOWN,Standing in waist-deep water,M,UNKNOWN,Leg bitten three times,N,UNKNOWN,Small shark with white-tipped dorsal fin,1965,JUN,STANDING,No,BITTEN,SMALL
3646,May-Jun-1965,1965,Unprovoked,EGYPT,UNKNOWN,South of Hurghada,"Spearfishing, but standing in the water",M,25,Ankle and thigh bitten; shark made three strikes,N,UNKNOWN,"1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark",1965,JUN,SPEARFISHING,No,BITTEN,MAKO
3647,1965,1965,Unprovoked,VANUATU,MALAMPA PROVINCE,Island of Paam'a,UNKNOWN,M,UNKNOWN,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,UNKNOWN,UNKNOWN,1965,UNKNOWN,UNKONWN,No,FATAL INJURY,UNKONWN
3649,25-Dec-1964,1964,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Port Alfred,Swimming,M,19,"Hand, ankle & calf lacerated",N,17h00,Raggedtooth shark,1964,DEC,SWIMMING,No,LACERATIONS,RAGGEDTOOTH
3650,10-Dec-1964,1964,Unprovoked,PAPUA NEW GUINEA,BOUGAINVILLE (NORTH SOLOMONS),Buka Island,UNKNOWN,M,UNKNOWN,Thigh severely lacerated,N,UNKNOWN,UNKNOWN,1964,DEC,UNKONWN,No,LACERATIONS,UNKONWN
3651,10-Dec-1964,1964,Boat,AUSTRALIA,NEW SOUTH WALES,Port Jervis,Fishing,X,UNKNOWN,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 m [15'] shark,1964,DEC,FISHING,Yes,NO INJURY,UNKONWN
3652,09-Dec-1964,1964,Unprovoked,PAPUA NEW GUINEA,BOUGAINVILLE (NORTH SOLOMONS),"Off Sing Village, Buka Island","Canoe swamped, swimming back to canoe",M,28,Survived,N,Late afternoon,2.1 m [7'] shark,1964,DEC,SWIMMING,No,OTHERS,UNKONWN
3653,06-Dec-1964,1964,Unprovoked,KENYA,COAST PROVINCE,"Kilindini Harbor, Mombasa",Fishing with hand line tied to wrist & was pulled into the water,M,10,FATAL,Y,UNKNOWN,UNKNOWN,1964,DEC,FISHING,Yes,FATAL INJURY,UNKONWN
3654,29-Nov-1964,1964,Unprovoked,AUSTRALIA,VICTORIA,Lady Julia Percy Island,Free diving with seals,M,25,Left leg severed,N,14h30,"White shark, 2.4 m [8']",1964,NOV,DIVING,No,LIMB SEVERED,WHITE
3655,18-Nov-1964,1964,Unprovoked,AUSTRALIA,QUEENSLAND,"Fingal Beach, near Tweed Heads",Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,13h30,UNKNOWN,1964,NOV,SWIMMING,No,FATAL INJURY,UNKONWN
3656,13-Nov-1964,1964,Provoked,AUSTRALIA,NEW SOUTH WALES,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,UNKNOWN,"White shark, 2.7 m [9'1""], 750-lb",1964,NOV,FILMING,No,OTHERS,WHITE
3657,05-Nov-1964,1964,Boat,USA,PUERTO RICO,UNKNOWN,Longline fishing,X,UNKNOWN,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,Mako shark,1964,NOV,FISHING,Yes,NO INJURY,MAKO
3658,31-Oct-1964,1964,Provoked,SOUTH AFRICA,KWAZULU-NATAL,Umkomaas,Surf fishing,M,UNKNOWN,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,1964,OCT,FISHING,Yes,BITTEN,UNKONWN
3660,04-Oct-1964,1964,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,09h30,"Grey nurse shark, 1.8 m [6']",1964,OCT,SURFING,No,OTHERS,NURSE
3662,20-Sep-1964,1964,Unprovoked,TAIWAN,NORTHERN TAIWAN,"Tamsui Beach, Taipai",Swimming,M,32,FATAL,Y,14h00,UNKNOWN,1964,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
3663,07-Sep-1964,1964,Unprovoked,TAIWAN,NORTHERN TAIWAN,Tamsui Beach,Swimming,M,20,Right thigh &  elbow bitten,N,13h30,1.8 m [6'] shark,1964,SEP,SWIMMING,No,BITTEN,UNKONWN
3664,26-Aug-1964,1964,Unprovoked,USA,FLORIDA,"Hollywood Beach, Broward County",Swimming,M,14,Bruised & abraded ankle,N,14h30,UNKNOWN,1964,AUG,SWIMMING,No,OTHERS,UNKONWN
3665,23-Aug-1964,1964,Unprovoked,MEXICO,GUERRERO,Acapulco,Floating on his back in an inner tube,M,19,Right thigh bitten,N,14h00,1.8 to 2.4 m [6' to 8'] shark,1964,AUG,FLOATING,No,BITTEN,UNKONWN
3667,21-Aug-1964,1964,Unprovoked,USA,FLORIDA,"Panama City, Bay County",Swimming,M,UNKNOWN,"No injury,  bumped repeatedly",N,11h30,3' shark,1964,AUG,SWIMMING,No,NO INJURY,UNKONWN
3668,08-Aug-1964,1964,Unprovoked,USA,FLORIDA,"2 miles off Jupiter, Palm Beach County",Spearfishing using scuba,M,28,"No injury, shark hit scuba tank",N,12h00,Hammerhead shark,1964,AUG,SPEARFISHING,No,NO INJURY,HAMMERHEAD
